ID,Type,SKU,Name
10701,simple,HR-66B,Haier HR-66B 2.5 Cu Ft Black Single Door Non-Inverter Refrigerator
10708,simple,HRF-316-IAPA,Haier HRF-316 IAPA 11 Cu Ft Purple Digital Inverter Refrigerator
10715,simple,HRF-346-IAPA,Haier HRF-346 IAPA 12 Cu Ft Purple Digital Inverter Refrigerator
10721,simple,HRF-438-IAPA+,Haier HRF-438 IAPA+ 15 Cu Ft Purple Digital Inverter Refrigerator
10728,simple,HWM 85-1269X,HAIER 8.5KG HWM85-1269S6 AUTOMATIC TOP LOAD WASHING MACHINE
10732,simple,HWM100‑316S6,Haier Model HWM100-316S6 Fully Automatic Top Load Washing Machine
10737,simple,HWM 120-316S6,HAIER  Model HWM 120-316S6 12KG AUTOMATIC TOP LOAD WASHING MACHINE
10751,simple,HRF-186EBS,Haier HRF-186EBS 6 Cu Ft Silver E-Star Non-Inverter Refrigerator
10758,simple,HRF-216EBS,Haier HRF-216EBS 8 Cu Ft Silver E-Star Non-Inverter Refrigerator
10765,simple,HRF-246EBD,Haier HRF-246EBD 9 Cu Ft Dark Metallic E-Star Non-Inverter Refrigerator
10773,simple,HWS-60-50,Haier HWS 60-50 Spin Dryer – Electric Clothes Spinner Machine | Fast Drying Laundry Solution | Portable & Energy Efficient
10779,simple,HWM 80-1217,"Haier HWM 80-1217 Top Load Washing Machine – 8kg Semi Automatic Washer | Powerful Cleaning, Durable & Energy Saving Home Appliance"
10794,simple,HWM-75-AS,Haier 7.5 KG Twin Tub HWM-75-AS Washing Machine
10801,simple,HMW-20MXP3,HAIER 20 LITRE SOLO HMW-20MXP3 MICROWAVE OVEN
10807,simple,HMW-20MPB,"Haier HMW-20MPB 20L Microwave Oven – Solo & Grill Microwave | Defrost, Reheat, Quick Cooking, Compact Kitchen Oven"
10813,simple,HMW-20MBS,Haier HMW-20MBS Solo Microwave Oven | 20-litre capacity
10834,simple,HMW-20MWS,Haier Model HMW-20MWS Solo Series Microwave Oven 20Ltr
10847,simple,PWD-525,PEL PCWD 525 Curved Glass Door Water Dispenser
10874,simple,WF-6807,WestPoint WF-6807 Deluxe Ceramic Coating Plate Hair Straightener
10888,simple,WF-6810,WestPoint WF-6810 Professional Ceramic Coating Plate Hair Straightening Brush
10894,simple,WF-6613,WestPoint WF-6613 Professional Cordless Freedom Hair Clipper
10906,simple,WF-6813,WestPoint WF-6813 Professional LED Charge Indicator Hair Clipper
10909,simple,WF-6217,WestPoint WF-6217 Deluxe Overheat Protection Hair Dryer
10912,simple,WF-6362,WestPoint WF-6362 Deluxe IPX7 Water Resistant Epilator
10918,simple,wf-1156,WestPoint WF-1156 Deluxe Fast Heat Up Garment Steamer
